id,link,descr_short,price,screen_size,resolution,cpu,ram,hdd_ssd,gpu,os
4901197,/product/49a9b991c5e26200/156-noutbuk-hp-250-g8-seryj/,"15.6"" Ноутбук HP 250 G8 серый [HD (1366x768), IPS, Intel Core i3-1115G4, ядра: 2 х 3 ГГц, RAM 4 ГБ, SSD 256 ГБ, Intel UHD Graphics , без ОС]",225990,15.6,1366x768,Intel Core i3-1115G4,4,256,Intel UHD Graphics,без ОС
4900551,/product/5dd56777a0f76200/156-noutbuk-lenovo-ideapad-3-15igl05-seryj/,"15.6"" Ноутбук Lenovo IdeaPad 3 15IGL05 серый [HD (1366x768), TN+film, Intel Celeron N4020, ядра: 2 х 1.1 ГГц, RAM 8 ГБ, SSD 256 ГБ, Intel UHD Graphics , без ОС]",226990,15.6,1366x768,Intel Celeron N4020,8,256,Intel UHD Graphics,без ОС
4900533,/product/5ed6c6199ab06200/14-noutbuk-asus-x415ea-eb512-seryj/,"14"" Ноутбук ASUS X415EA-EB512 серый [Full HD (1920x1080), IPS, Intel Core i3-1115G4, ядра: 2 х 3 ГГц, RAM 8 ГБ, SSD 256 ГБ, Intel UHD Graphics , без ОС]",229990,14,1920x1080,Intel Core i3-1115G4,8,256,Intel UHD Graphics,без ОС
4900553,/product/5dd5677ba0f76200/156-noutbuk-lenovo-ideapad-l3-15itl6-seryj/,"15.6"" Ноутбук Lenovo IdeaPad L3 15ITL6 серый [Full HD (1920x1080), IPS, Intel Core i3-1115G4, ядра: 2 х 3 ГГц, RAM 8 ГБ, HDD 1000 ГБ, Intel UHD Graphics , без ОС]",229990,15.6,1920x1080,Intel Core i3-1115G4,8,1000,Intel UHD Graphics,без ОС
4900557,/product/5dd56783a0f76200/156-noutbuk-lenovo-ideapad-l3-15itl6-seryj/,"15.6"" Ноутбук Lenovo IdeaPad L3 15ITL6 серый [Full HD (1920x1080), IPS, Intel Core i3-1115G4, ядра: 2 х 3 ГГц, RAM 8 ГБ, HDD 1000 ГБ, Intel UHD Graphics , Windows 10 Home Single Language]",231990,15.6,1920x1080,Intel Core i3-1115G4,8,1000,Intel UHD Graphics,Windows 10 Home Single Language
9908978,/product/6256c80a45b5c25c/156-noutbuk-asus-m515da-bq1404w-seryj/,"15.6"" Ноутбук ASUS M515DA-BQ1404W серый [Full HD (1920x1080), IPS, AMD Ryzen 3 3250U, ядра: 2 х 2.6 ГГц, RAM 8 ГБ, SSD 256 ГБ, AMD Radeon Graphics , Windows 11 Home Single Language]",239990,15.6,1920x1080,AMD Ryzen 3 3250U,8,256,AMD Radeon Graphics,Windows 11 Home Single Language
5318368,/product/e2e4440891e13333/156-noutbuk-lenovo-ideapad-3-15iil05-seryj/,"15.6"" Ноутбук Lenovo IdeaPad 3 15IIL05 серый [HD (1366x768), TN+film, Intel Core i3-1005G1, ядра: 2 х 1.2 ГГц, RAM 4 ГБ, HDD 1000 ГБ, Intel UHD Graphics , Windows 10 Home Single Language]",239990,15.6,1366x768,Intel Core i3-1005G1,4,1000,Intel UHD Graphics,Windows 10 Home Single Language
9964505,/product/69716693e104780c/156-noutbuk-asus-expertbook-l1-l1500cda-bq0640-cernyj/,"15.6"" Ноутбук ASUS ExpertBook L1 L1500CDA-BQ0640 черный [Full HD (1920x1080), IPS, AMD Ryzen 3 3250U, ядра: 2 х 2.6 ГГц, RAM 8 ГБ, SSD 256 ГБ, AMD Radeon Graphics , без ОС]",244990,15.6,1920x1080,AMD Ryzen 3 3250U,8,256,AMD Radeon Graphics,без ОС
5038348,/product/956e283bd283ed20/156-noutbuk-lenovo-ideapad-3-15iil05-seryj/,"15.6"" Ноутбук Lenovo IdeaPad 3 15IIL05 серый [Full HD (1920x1080), IPS, Intel Core i3-1005G1, ядра: 2 х 1.2 ГГц, RAM 8 ГБ, SSD 256 ГБ, Intel UHD Graphics , Windows 11 Home Single Language]",244990,15.6,1920x1080,Intel Core i3-1005G1,8,256,Intel UHD Graphics,Windows 11 Home Single Language
5342503,/product/7ad2dd8d1ea52ff2/156-noutbuk-lenovo-v15-g1-iml-seryj/,"15.6"" Ноутбук Lenovo V15 G1 IML серый [Full HD (1920x1080), TN+film, Intel Core i3-10110U, ядра: 2 х 2.1 ГГц, RAM 4 ГБ, SSD 256 ГБ, Intel UHD Graphics , без ОС]",246990,15.6,1920x1080,Intel Core i3-10110U,4,256,Intel UHD Graphics,без ОС
9950254,/product/e9c611dfe740ea8b/156-noutbuk-acer-extensa-15-ex215-22-r1bh-cernyj/,"15.6"" Ноутбук Acer Extensa 15 EX215-22-R1BH черный [Full HD (1920x1080), TN+film, AMD Ryzen 3 3250U, ядра: 2 х 2.6 ГГц, RAM 8 ГБ, SSD 256 ГБ, AMD Radeon Graphics , Windows 11 Home Single Language]",247990,15.6,1920x1080,AMD Ryzen 3 3250U,8,256,AMD Radeon Graphics,Windows 11 Home Single Language
4900591,/product/b4a907b4a4c46200/14-noutbuk-lenovo-v14-iml-seryj/,"14"" Ноутбук Lenovo V14 IML серый [Full HD (1920x1080), TN+film, Intel Core i3-10110U, ядра: 2 х 2.1 ГГц, RAM 4 ГБ, HDD 1000 ГБ, Intel UHD Graphics , без ОС]",249990,14,1920x1080,Intel Core i3-10110U,4,1000,Intel UHD Graphics,без ОС
1615584,/product/c9d32d2d14c33332/156-noutbuk-acer-aspire-3-a315-56-315a-cernyj/,"15.6"" Ноутбук Acer Aspire 3 A315-56-315A черный [Full HD (1920x1080), TN+film, Intel Core i3-1005G1, ядра: 2 х 1.2 ГГц, RAM 4 ГБ, SSD 256 ГБ, Intel UHD Graphics , Windows 10 Home Single Language]",249990,15.6,1920x1080,Intel Core i3-1005G1,4,256,Intel UHD Graphics,Windows 10 Home Single Language
9961186,/product/fbfa905d6dfcb520/156-noutbuk-asus-x515ea-bq1949w-sinij/,"15.6"" Ноутбук Asus X515EA-BQ1949W синий [Full HD (1920x1080), IPS, Intel Core i3-1115G4, ядра: 2 х 3 ГГц, RAM 8 ГБ, SSD 256 ГБ, Intel UHD Graphics , Windows 11 Home Single Language]",249990,15.6,1920x1080,Intel Core i3-1115G4,8,256,Intel UHD Graphics,Windows 11 Home Single Language
5038343,/product/a254cc15d282ed20/156-noutbuk-lenovo-ideapad-3-15iml05-seryj/,"15.6"" Ноутбук Lenovo IdeaPad 3 15IML05 серый [Full HD (1920x1080), IPS, Intel Core i3-10110U, ядра: 2 х 2.1 ГГц, RAM 8 ГБ, SSD 256 ГБ, Intel UHD Graphics , Windows 10 Home Single Language]",249990,15.6,1920x1080,Intel Core i3-10110U,8,256,Intel UHD Graphics,Windows 10 Home Single Language
5367869,/product/11992043d6782ff4/156-noutbuk-lenovo-v15-g2-itl-cernyj/,"15.6"" Ноутбук Lenovo V15 G2 ITL черный [Full HD (1920x1080), TN+film, Intel Core i3-1115G4, ядра: 2 х 3 ГГц, RAM 8 ГБ, SSD 256 ГБ, Intel UHD Graphics , без ОС]",249990,15.6,1920x1080,Intel Core i3-1115G4,8,256,Intel UHD Graphics,без ОС
9954030,/product/4a387f0fbc9dc4ce/156-noutbuk-msi-modern-15-b12m-211-cernyj/,"15.6"" Ноутбук MSI Modern 15 B12M-211 черный [Full HD (1920x1080), IPS, Intel Core i3-1215U, ядра: 2 + 4, RAM 8 ГБ, SSD 256 ГБ, Intel UHD Graphics , Windows 11 Home Single Language]",249990,15.6,1920x1080,Intel Core i3-1215U,8,256,Intel UHD Graphics,Windows 11 Home Single Language
5064390,/product/2b6199891c3fed20/156-noutbuk-msi-modern-15-b12m-211ru-cernyj/,"15.6"" Ноутбук MSI Modern 15 B12M-211RU черный [Full HD (1920x1080), IPS, Intel Core i3-1215U, ядра: 2 + 4, RAM 8 ГБ, SSD 256 ГБ, Intel UHD Graphics , Windows 11 Home Single Language]",249990,15.6,1920x1080,Intel Core i3-1215U,8,256,Intel UHD Graphics,Windows 11 Home Single Language
9954032,/product/236f4084d0902a38/156-ultrabuk-msi-modern-15-b12m-215x-cernyj/,"15.6"" Ультрабук MSI Modern 15 B12M-215X черный [Full HD (1920x1080), IPS, Intel Core i3-1215U, ядра: 2 + 4, RAM 8 ГБ, SSD 256 ГБ, Intel UHD Graphics , без ОС]",249990,15.6,1920x1080,Intel Core i3-1215U,8,256,Intel UHD Graphics,без ОС
5064391,/product/2b61998b1c3fed20/156-ultrabuk-msi-modern-15-b12m-215xru-cernyj/,"15.6"" Ультрабук MSI Modern 15 B12M-215XRU черный [Full HD (1920x1080), IPS, Intel Core i3-1215U, ядра: 2 + 4, RAM 8 ГБ, SSD 256 ГБ, Intel UHD Graphics , без ОС]",249990,15.6,1920x1080,Intel Core i3-1215U,8,256,Intel UHD Graphics,без ОС
4900146,/product/a6907ea1411fd050/156-noutbuk-dell-vostro-3515-seryj/,"15.6"" Ноутбук Dell Vostro 3515 серый [Full HD (1920x1080), WVA (TN+film), AMD Ryzen 3 3250U, ядра: 2 х 2.6 ГГц, RAM 4 ГБ, SSD 128 ГБ, AMD Radeon Graphics , Windows 10 Home Single Language]",254990,15.6,1920x1080,AMD Ryzen 3 3250U,4,128,AMD Radeon Graphics,Windows 10 Home Single Language
4900546,/product/5be5cf7ea00a6200/14-noutbuk-asus-expertbook-b1-b1400-b1400ceae-eb2613r-cernyj/,"14"" Ноутбук ASUS ExpertBook B1 B1400 B1400CEAE-EB2613R черный [Full HD (1920x1080), IPS, Intel Core i3-1115G4, ядра: 2 х 3 ГГц, RAM 8 ГБ, SSD 256 ГБ, Intel UHD Graphics , Windows 10 Pro]",259990,14,1920x1080,Intel Core i3-1115G4,8,256,Intel UHD Graphics,Windows 10 Pro
5340813,/product/da5ebd7b15cb2ff2/156-noutbuk-hp-255-g7-seryj/,"15.6"" Ноутбук HP 255 G7 серый [Full HD (1920x1080), SVA (TN+film), AMD Ryzen 3 3200U, ядра: 2 х 2.6 ГГц, RAM 8 ГБ, SSD 256 ГБ, AMD Radeon Vega 3 , DVD-RW, без ОС]",264990,15.6,1920x1080,AMD Ryzen 3 3200U,8,256,DVD-RW,без ОС
